n,s,t,fw_obj,fw_gap,fw_k,fw_runtime,fwls_obj,fwls_gap,fwls_k,fwls_runtime,asfw_obj,asfw_gap,asfw_k,asfw_runtime,asfwls_obj,asfwls_gap,asfwls_k,asfwls_runtime,pwfw_obj,pwfw_gap,pwfw_k,pwfw_runtime,pwfwls_obj,pwfwls_gap,pwfwls_k,pwfwls_runtime,spectral_bound_val
63,40,22,-35.29245064546686,0.0009101222234300983,109,0.120772,-35.29261914876994,0.0009736292135001516,44,0.4959998,-35.29200359961574,0.0008993433435512049,89,0.1051197,-35.292066752668354,0.0009999567080933528,35,0.5374914,-35.291986958176395,0.0008078390406250913,324,0.3217903,-35.291997759147804,0.000939204358600898,38,0.6120206,-37.753116295217055
63,40,23,-37.94807834923753,0.0008568352237070341,112,0.1171087,-37.948151826627125,0.0009738017925698592,58,0.6221089,-37.94763815875196,0.0009334296068278614,71,0.0604579,-37.94765524127213,0.0006273101715811857,32,0.556044,-37.94763110511938,0.0005794446583325397,491,0.3934698,-37.9476406817779,0.000921327606215383,36,0.558418,-40.16413550995133
63,40,24,-40.645757084286714,0.0008530740008209429,125,0.1376603,-40.645883608399444,0.0008397038966306094,73,0.8292891,-40.64536589879431,0.0006495165376120672,165,0.1608612,-40.645371588546624,0.0009255080638060353,40,0.4997054,-40.64536172462837,0.0008604820277778313,476,0.3961133,-40.645362554223055,0.0006900063871274065,25,0.3824069,-42.59686236031905
63,40,25,-43.383502226865545,0.0007465703265027926,124,0.1151213,-43.38373739257822,0.000989702627412504,71,0.7544502,-43.38312089086453,0.0007624550291162669,135,0.1560952,-43.383143325909465,0.0009999406865126496,45,0.7128028,-43.38311426102514,0.0009977790360333194,787,0.6603945,-43.38312658242758,0.0009628684155951195,41,0.6457401,-45.042738113149596
63,40,26,-46.15964135368807,0.0009028434011200938,115,0.1193351,-46.15970514971494,0.000946193080255131,91,0.9851609,-46.15923882551433,0.0009186438113750865,92,0.0962907,-46.159262208886815,0.000978029723419947,58,0.7280394,-46.159181679970516,0.0009198867803786315,586,0.5033718,-46.15920184990929,0.0009750870323032568,46,0.6076636,-47.50052849937621
63,40,27,-48.971797150859246,0.0009576619558611587,129,0.0990746,-48.971985579120116,0.0009944374348844164,98,1.0340626,-48.97141292672066,0.0009982278418368576,154,0.1177837,-48.97145524970851,0.0009825678592241213,61,0.7172254,-48.9714098191013,0.0009046453378340202,528,0.443279,-48.971414641225905,0.0008984112180642212,38,0.5957596,-49.976246970687605
63,40,28,-51.81972056771295,0.0009662551307460946,147,0.1849004,-51.819983363685125,0.0009068214091715699,113,1.3497073,-51.81943486197693,0.0009069232368236443,137,0.139381,-51.819427362330345,0.0006832924275896073,47,0.6966405,-51.819416912338156,0.0007802726641610858,574,0.4830485,-51.8194229928596,0.0008071947792495093,65,0.961772,-52.46165381428197
63,40,29,-54.701475402446114,0.0007943779919366936,152,0.1782113,-54.701785166499036,0.0009512942357104556,123,1.5438569,-54.70119576184737,0.0007214066857595083,196,0.2912431,-54.7012099106819,0.0009695482850858017,74,1.0170467,-54.70119221297483,0.0006706927851399813,493,0.5178655,-54.7011996659911,0.0009643904888619881,79,1.0845583,-54.971634026549495
63,40,30,-57.615503835773524,0.0009655290535371105,182,0.2223095,-57.61587875390884,0.0009958812470939563,142,1.7839766,-57.61530274767736,0.0009751872617172001,238,0.1832261,-57.61531369420023,0.000884628168043942,101,1.155872,-57.615287512945166,0.0006989378875638108,696,0.5963721,-57.615288805518425,0.000939121539980381,69,0.9451289,-57.49258105904766
63,40,31,-60.56103308986641,0.0006122890524183784,203,0.1919561,-60.56143882708892,0.0009996942482777874,155,1.7242477,-60.560885608628595,0.0009979154558978486,258,0.2341865,-60.5609166408569,0.0009905201788690423,85,1.0910313,-60.560877223810415,0.000984992473170132,1098,0.8871926,-60.56089451530491,0.0008944789754107285,75,1.1065856,-60.056844158988156
63,40,32,-63.537217610573876,0.0008894386011377332,226,0.188442,-63.53765164591482,0.0009903028403368131,173,1.9698797,-63.53712655045722,0.0009652219848720935,194,0.178385,-63.53716001022285,0.000992253587023941,134,1.422822,-63.53709281768623,0.0009999758147413718,1549,1.4849073,-63.53710932993094,0.0009573015019405662,77,0.9949943,-62.66007910247163
63,40,33,-66.54485585258689,0.0007850261283176599,284,0.2270231,-66.54525152670058,0.0009473326570872208,215,2.4518547,-66.54479022499626,0.000638480366698718,330,0.2794357,-66.54483504747277,0.0008347613724963739,106,1.1475378,-66.54477500896408,0.000930897026037214,1386,1.2176203,-66.54478185033771,0.0009187516765047921,135,1.5286853,-65.28513594586515
63,40,34,-69.58172446972259,0.0006404735609256807,270,0.2074928,-69.58195308945459,0.000994473266918609,136,1.6125892,-69.58164139374114,0.0008843534711285295,341,0.3503385,-69.58165294793648,0.00077405852720841,66,0.8244498,-69.58163922305316,0.0008982279725349152,1787,1.427196,-69.58164656039365,0.0009922490349378865,140,1.6217372,-67.93201647370464
63,40,35,-72.64689861640187,0.000960578887766754,342,0.3305071,-72.64746348698652,0.0009507322230156163,360,4.7657793,-72.6468451258118,0.0008486538884349743,506,0.468806,-72.64685684438496,0.0008929832101746485,87,1.1135149,-72.64683766485044,0.0009636594931891063,1259,1.0512846,-72.64684321789393,0.000999887302863267,95,1.1891321,-70.5938585844045
63,40,36,-75.74165344506163,0.0009114223532618269,335,0.3339232,-75.7422733575333,0.0009670704999712456,384,4.9537073,-75.74159875996318,0.0009749041001363555,570,0.4665195,-75.74161078138347,0.0009219811817150828,97,1.3513546,-75.74160029129315,0.0007364933027766973,2800,2.4223196,-75.74160557759201,0.000989417008952942,102,1.270172,-73.2918314305775
63,40,37,-78.86897499076218,0.0008103289987213147,458,0.4380515,-78.86956859711579,0.0009982237147772184,508,6.8264879,-78.8689475237444,0.000878439736328524,525,0.4634976,-78.86897079616497,0.000934847799434646,104,1.456878,-78.86894425110314,0.0009378936752045819,2110,1.8864563,-78.8689497731522,0.0009375903749210268,146,1.7469277,-76.0137063188854
63,40,38,-82.03050434878044,0.0008293889104073925,462,0.3942776,-82.03105627259337,0.0009740979562042934,556,7.6884427,-82.03047908842072,0.0009052182388294054,758,0.6085091,-82.03052009312759,0.0009817509657015777,145,1.9958366,-82.03047139762782,0.0009480897459208659,2501,2.4261714,-82.0304735299667,0.0009631724797679597,94,1.1382855,-78.78470925616364
63,40,39,-85.22472732203718,0.0008506224150925128,518,0.4668246,-85.22535212938607,0.0009891895501068697,628,8.5813745,-85.22470861710221,0.0009904327735974355,675,0.6269817,-85.22471956898903,0.0009755158498927528,175,2.2202041,-85.22470878137328,0.0009776824632585779,2694,2.3007462,-85.22470667398181,0.0007883566146424936,112,1.4126912,-81.56034591713913
63,40,40,-88.45194232997615,0.0008864039721164053,673,0.6052857,-88.45253505950248,0.000969889070573229,1011,14.483199,-88.45193144530467,0.0009921430855715993,1025,0.8724866,-88.45194485807276,0.0007910224667782301,150,1.967064,-88.45193014350119,0.0009089840659990411,5775,4.8914777,-88.45193144646917,0.0009290359728366671,76,0.9461371,-84.34820585731252
